Navn;Organisation;Type;Sprog;Filtype;Periode (Start);Periode (Slut);Tags;Emne;url;Licens;Dokumentation
Coral tekst-til-tale datasæt;Alexandra Instituttet;NA;dan;parquet;NA;NA;coral:lyddata:taledata:tekst-til-tale;Sprog og retskrivning:Uddannelse, kultur og sport;https://huggingface.co/datasets/alexandrainst/coral-tts;NA;NA
Georg Brandes_ Hovedstrømninger i det 19. Aarhundredes Litteratur (1872 - 1890);Det Danske Sprog- og Litteraturselskab;Korpora;dan;html;1872;1890;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/37?show=full;https://creativecommons.org/licenses/by-nc-sa/4.0/;https://dsl.dk/projekter/georg-brandes-digitale-hovedstromninger
PAROLE-DK og eParole;Det Danske Sprog- og Litteraturselskab;Korpora;dan:eng:fin:vls:fre:gre:dut:gle:ita:cat:nor:por:swe:ger;xml, txt;1998;2015;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://korpus.dsl.dk/resources/details/parole.html;Public Domain Mark 1.0;https://korpus.dsl.dk/clarin/corpus-doc/parole-doc/paroledoc_en.pdf
DK-CLARIN Referencekorpus med dansk almensprog;Det Danske Sprog- og Litteraturselskab;Korpora;dan;xml;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/36#;https://kitwiki.csc.fi/twiki/bin/view/FinCLARIN/ClarinEulaAca?ID=1&AFFIL=EDU&BY=1&NC=1&NORED=1;https://repository.clarin.dk/repository/xmlui/handle/20.500.12115/36
Fuldformliste fra Ordbog over det danske sprog;Det Danske Sprog- og Litteraturselskab;Korpora;dan;csv;NA;NA;dansk:fuldformliste:ODS:ordbog over det danske sprog:bøjningsformer;Sprog og retskrivning:Uddannelse, kultur og sport;https://korpus.dsl.dk/resources/details/ods-fullforms.html;https://korpus.dsl.dk/resources/licences/dsl-open.html;https://korpus.dsl.dk/resources/details/ods-fullforms.html
KorpusDK;Det Danske Sprog- og Litteraturselskab;Korpora;dan;txt;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://korpus.dsl.dk/resources/details/korpusdk.html;https://korpus.dsl.dk/resources/licences/dsl-restricted.html;https://korpus.dsl.dk/resources/details/korpusdk.html
Public ADL text sources;Det Kongelige Bibliotek;Korpora;dan;xml;NA;NA;tekst;NA;https://rawgit.com/Det-Kongelige-Bibliotek/access-digital-objects/master/form-demos/adl-form.html;https://opendefinition.org/licenses/gfdl;https://tekster.kb.dk/adl
Referater fra Folketinget;Folketinget;Korpora;dan;xml, html;NA;NA;FT:dansk:folketinget:sprogmodeller:tekst:tekstdata;Uddannelse, kultur og sport:Sprog og retskrivning:Regeringen og den offentlige sektor;https://www.ft.dk/da/dokumenter/dokumentlister/referater?pageSize=200&numberOfDays=-93;https://www.ft.dk/da/dokumenter/aabne_data#290AB29F56C54AC88474BC53393A3AE0;NA
Lyd fra Folketinget;Folketinget;Korpora;dan;mp3;NA;NA;tale;NA;https://www.ft.dk/da/aktuelt/lyd-fra-folketinget;https://www.ft.dk/da/aktuelt/tv-fra-folketinget/deling-og-rettigheder;NA
TV fra Folketinget;Folketinget;Korpora;dan;mp4, html;NA;NA;ASR:dansk:sprogmodel:tale:talegenkendelse:taleteknologi;Uddannelse, kultur og sport:Sprog og retskrivning:Regeringen og den offentlige sektor;https://www.ft.dk/aktuelt/webtv;https://www.ft.dk/da/aktuelt/tv-fra-folketinget/deling-og-rettigheder;NA
